Dist Name,Latitude,Longitude
Durg,21.1982964,81.4007922
Bastar,19.1191282,81.8291865
Raipur,21.2380912,81.6336993
Bilaspur,22.1638486,82.1365923
Raigarh,22.2361795,83.3529534
Surguja,22.9469135,83.1656942
Jabalpur,23.1701522,79.9324505
Balaghat,21.8611589,80.3237105
Chhindwara,22.2071897,78.798833
Narsinghpur,22.934556,79.0867849
Seoni / Shivani,22.6515644,76.1276897
Mandla,22.6871074,80.5816341
Sagar,23.8083076,78.758254
Damoh,23.7981005,79.5419356
Tikamgarh,24.8552105,79.0472546
Chhatarpur,24.7606089,79.6781776
Panna,24.4498931,80.1462723
Rewa,24.7560846,81.3810574
Sidhi,24.2112687,81.7000415
Satna,24.6954445,80.7770348
Shahdol,23.3002343,81.364771
Gwalior,26.2037247,78.1573628
Shivpuri,25.3741215,77.8278866
Guna,24.5001772,77.2600959
Datia,25.9182946,78.6644962
Morena,26.3849794,77.8612721
Bhind,26.3518828,78.6863189
Indore,22.7203616,75.8681996
Ratlam,23.50222,74.9551534
Ujjain,23.1885131,75.7716562
Mandsaur,24.2628148,75.385692
Dewas,22.8057498,76.2940408
Dhar,22.5786572,75.2258637
Jhabua,22.8869652,74.7243249
Khargone / West Nimar,21.8317931,75.6284103
Khandwa / East Nimar,,
Sehore,23.1150041,77.0665356
Raisen,23.2675909,78.1727134
Vidisha,23.8463003,77.8370209
Betul,21.8797472,77.8753651
Rajgarh,23.8716706,76.7744703
Shajapur,23.4171001,76.6074794
Hoshangabad,22.743061,77.7189338
Srikakulam,18.2949307,83.8938844
Visakhapatnam,17.6935526,83.2921297
East Godavari,16.9956638,81.7154378
West Godavari,16.6443028,81.5885247
Krishna,16.21277,81.0306958
Guntur,16.2915189,80.4541588
S.P.S. Nellore,14.4568284,79.9897754
Kurnool,15.8309251,78.0425373
Ananthapur,19.5048853,78.4309345
Kadapa YSR,14.4752936,78.8216861
Chittoor,13.2026484,79.0032253
Hyderabad,17.360589,78.4740613
Nizamabad,18.6732693,78.0978477
Medak,17.9375095,78.211745
Mahabubnagar,16.6965686,77.9591146
Nalgonda,16.8579636,79.2174935
Warangal,17.9820644,79.5970954
Khammam,17.2465351,80.1500326
Karimnagar,18.4348122,79.1328042
Adilabad,19.6759452,78.5339895
Bangalore,12.9881567,77.6226
Kolar,13.1805066,78.2669329
Tumkur,13.3400771,77.1006208
Mysore,12.3051828,76.6553609
Mandya,12.6368939,76.7275477
Hassan,13.0301852,76.1744968
Shimoge,,
Chickmagalur,,
Chitradurga,14.3049174,76.5297234
Bellary,15.1430224,76.9173277
Dharwad,15.3707296,75.1332867
Belgaum,15.8572666,74.5069343
Bijapur / Vijayapura,16.8269911,75.7175387
Bidar,18.0207296,77.2487204
Raichur,16.0547194,76.9003647
Gulbarga / Kalaburagi,17.3310003,76.8334228
Dakshina Kannada,12.8226433,75.2265036
Uttara Kannada,14.7253795,74.6403389
Kodagu / Coorg,,
Chengalpattu MGR / Kanchipuram,,
South Arcot / Cuddalore,11.5,79.416667
North Arcot / Vellore,,
Salem,11.6469616,78.2106958
Coimbatore,11.0018115,76.9628425
Tiruchirapalli / Trichy,10.763165,78.7132601
Thanjavur,10.659037,79.2014278
Madurai,9.9261153,78.1140983
Ramananthapuram,,
Thirunelveli,,
The Nilgiris,11.4,76.7
Kanyakumari,8.079252,77.5499338
Bombay,19.054999,72.8692035
Thane,19.1943294,72.9701779
Raigad,18.4928092,73.138071
Ratnagiri,17.2826079,73.4569787
Nasik,19.9834939,73.8926931
Dhule,21.1305215,74.4900614
Jalgaon,20.8428826,75.5261246
Ahmednagar,19.1627725,74.8580243
Pune,18.5213738,73.8545071
Satara,17.6361288,74.2982781
Sangli,17.1726928,74.5867654
Solapur,17.8499067,75.2763203
Kolhapur,16.7028412,74.2405329
Aurangabad,24.80332,84.4110198
Parbhani,19.2901981,76.6026443
Beed,18.9918442,75.909784
Nanded,19.0940088,77.4831922
Osmanabad,18.2822454,76.0588166
Buldhana,20.562845,76.4086986
Akola,20.7618122,77.1921157
Amarawati,15.9964121,76.9597966
Yeotmal,,
Wardha,20.8256231,78.6131455
Nagpur,21.1498134,79.0820556
Bhandara,21.1225869,79.794509
Chandrapur,20.0967555,79.5045475
Ahmedabad,23.0215374,72.5800568
Amreli,21.4176122,71.249609
Banaskantha,24.2693921,72.1620246
Bharuch,21.7080427,72.9956936
Vadodara / Baroda,22.2973142,73.1942567
Bhavnagar,21.7718836,72.1416449
Valsad,20.4321957,73.1409893
Dangs,20.75,73.75
Jamnagar,22.4732415,70.0552102
Junagadh,21.5220416,70.4582458
Kheda,22.8532503,72.9953586
Kutch,23.583333,70.0
Mehsana,23.6012628,72.3741516
Panchmahal,22.6978098,73.5980682
Rajkot,22.3053263,70.8028377
Sabarkantha,23.8688505,73.013784
Surat,21.2094892,72.8317058
Surendranagar,22.8251395,71.6209736
Ajmer,26.4691,74.639
Alwar,27.4140048,76.6170387
Banswara,23.4915046,74.3502172
Barmer,25.5814853,71.1924922
Bharatpur,27.0246959,77.2920116
Bhilwara,25.4891177,74.3300726
Bikaner,28.0159286,73.3171367
Bundi,25.4367659,75.7361471
Chittorgarh,24.7171578,74.4718129
Churu,28.2047781,74.6912996
Dungarpur,23.8538893,73.7087177
Ganganagar,23.7497214,91.876635
Jaipur,26.9154576,75.8189817
Jaisalmer,26.9116615,70.9124888
Jalore,25.2718629,72.4388121
Jhalawar,24.3132368,76.5221078
Jhunjhunu,28.0810679,75.3792478
Jodhpur,26.2967719,73.0351433
Kota,25.1737019,75.8574194
Nagaur,26.9873443,73.7389011
Pali,25.455221,73.419389
Swami Madhopur,,
Sikar,27.6625058,75.0279905
Sirohi,24.8114047,72.8300257
Tonk,26.122266,75.8238631
Udaipur,24.578721,73.6862571
Gurdaspur,31.9037264,75.2275587
Amritsar,31.6356659,74.8787496
Kapurthala,31.3856476,75.3053304
Jalandhar,31.2922311,75.5678878
Hoshiarpur,31.6092942,75.8459754
Roopnagar / Ropar,30.9688367,76.526088
Ludhiana,30.9090157,75.851601
Ferozpur,30.4426151,74.0655994
Bhatinda,30.206791,74.9463699
Sangrur,30.135717,75.8533326
Patiala,30.2092777,76.3397231
Hissar,29.1155934,75.1835578
Gurgaon,28.4646148,77.0299194
Jind,29.3152073,76.314082
Mahendragarh / Narnaul,28.0614647,76.1071336
Ambala,30.3843674,76.770421
Karnal,29.7255766,76.9106924
Rohtak,28.9010899,76.5801935
Saharanpur,29.9856799,77.5040646
Muzaffarnagar,29.4496978,77.7429333
Meerut,29.0018557,77.7679671
Buland Shahar,,
Aligarh,27.8761073,78.1358153
Mathura,27.4955539,77.6855554
Agra,27.1752554,78.0098161
Mainpuri,27.2093072,79.0625369
Etah,27.5550357,78.5992221
Bareilly,28.4582344,79.4047452
Budaun,28.0367001,79.1234
Moradabad,28.8796553,78.8095335
Shahjahanpur,27.9128583,79.7476254
Pilibhit,28.4947158,80.1076122
Rampur,28.7934728,79.1845806
Bijnor,29.4074203,78.4821406
Farrukhabad,27.4362002,79.4894778
Etawah,26.7155629,79.0917098
Kanpur,26.4609135,80.3217588
Fatehpur,25.8348023,80.9154547
Allahabad,25.4381302,81.8338005
Jhansi,25.529855,78.6527802
Jalaun,26.1048633,79.3919136
Hamirpur,25.75,80.0
Banda,25.4438537,80.5595237
Varanasi,25.3356491,83.0076292
Mirzpur,,
Jaunpur,25.7967065,82.4888992
Ghazipur,25.6034862,83.5075888
Ballia,25.8749594,84.1210329
Gorakhpur,26.6677977,83.3642334
Deoria,26.4239911,83.7638578
Basti,26.8387083,82.5350919
Azamgarh,26.023639,83.0293105
Lucknow,26.8381,80.9346001
Unnao,26.5673264,80.6198193
Rae-Bareily,,
Sitapur,27.5026747,80.8335139
Hardoi,27.3369978,80.0998232
Kheri,28.116667,80.716667
Faizabad,26.7807986,82.1486589
Gonda,27.1103723,81.9238906
Bahraich,27.7343823,81.47654
Sultanpur,26.2604732,82.2380532
Pratapgarh,25.75,81.75
Barabanki,26.9421406,81.3856087
Nainital,29.3905295,79.460869
Almorah,,
Pithorgarh,,
Chamoli,30.4985956,79.6190537
Uttar Kashi,25.2593773,82.9816163
Tehri Garhwal,30.4658181,78.4837349
Garhwal,30.25,79.333333
Dehradun,30.3255646,78.0436813
Cachar,24.75864,92.8816648
Darrang,26.4373481,92.0047145
Dibrugarh,27.4844597,94.9019447
Goalpara,26.0491877,90.6001859
Kamrup,26.146886,91.2227397
Karbi Anglong,26.0,93.5
Lakhimpur,27.1763356,94.1992932
North Cachar Hil / Dima hasao,,
Nagaon,26.3313646,92.7524763
Sibsagar,26.9834936,94.6394226
Bilashpur,,
Chamba,32.6923316,76.1631552
Kangra,32.0768665,76.2985872
Kinnaur,31.593013,78.3281417
Kullu,31.9578974,77.1089232
Lahul & Spiti,32.5391825,77.1983343
Solan,30.9077569,77.1023645
Mandi,31.6516617,77.0092542
Shimla,31.1041526,77.1709729
Sirmaur,30.6991321,77.4465304
Alappuzha,9.5006651,76.4124143
Kannur,11.8763836,75.3737973
Eranakulam,10.0383947,76.5074145
Kottayam,9.6287383,76.6455326
Kozhikode,11.2450558,75.7754716
Malappuram,11.1068448,76.1099551
Palakkad,10.7873691,76.4742172
Kollam,8.8870815,76.5907017
Thrissur,10.5270099,76.214621
Thiruvananthapuram,8.4882267,76.947551
Balasore,21.5006421,86.919884
Bolangir,20.7502257,83.2499464
Cuttack,20.4686,85.8792
Dhenkanal,20.8351494,85.6022305
Ganjam,19.6090067,84.7080633
Kalahandi,19.8265756,83.0408702
Keonjhar,21.5,85.5
Koraput,18.7232023,82.6100596
Mayurbhanja,,
Phulbani ( Kandhamal ),20.4762322,84.2348517
Puri,19.8076083,85.8252538
Sambalpur,21.5570606,84.1528515
Sundargarh,22.0605153,83.9359154
24 Parganas,22.6926815,88.6625795
Nadia,23.4847374,88.5567067
Murshidabad,24.1745993,88.2721335
Burdwan,23.2495714,87.8681751
Birbhum,24.0621532,87.6982823
Bankura,23.132377,87.2081925
Hooghly,22.9099402,88.0120825
Howrah,22.5736296,88.3251045
Jalpaiguri,26.6262804,88.7334485
Darjeeling,27.0377554,88.263176
Malda,25.0057449,88.1398483
Cooch Behar,26.2559197,89.4201143
Purulia,23.2020967,86.3228988
Midnapur,22.4205314,87.3219109
West Dinajpur,25.5,88.5
Champaran,27.0518367,84.3351209
Muzaffarpur,26.1482548,85.3316097
Darbhanga,26.0829899,86.0324951
Saharsa,25.8330757,86.6143751
Purnea,25.7773601,87.4731227
Saran,25.9214451,84.7759731
Patna,25.6093239,85.1235252
Mungair,,
Bhagalpur,25.2861354,87.1304229
Santhal Paragana / Dumka,,
Shahabad (now part of Bhojpur district),,
Gaya,24.6793889,85.0115833
Hazaribagh,24.0866962,85.4912231
Dhanbad,23.7952809,86.4309638
Palamau,21.962994,78.8881245
Ranchi,23.3700501,85.3250387
Singhbhum,22.5,85.5
